"Year","Anomaly"
1909,-0.22
1910,-0.15
1911,-0.66
1912,-1.28
1913,-1.04
1914,-1.03
1915,-0.67
1916,0.38
1917,0.19
1918,-0.8
1919,-1.22
1920,-1.07
1921,-0.75
1922,-0.6
1923,-0.76
1924,0.2
1925,-1.02
1926,-0.83
1927,-0.99
1928,0.09
1929,-0.66
1930,-1.36
1931,-1.16
1932,-1.01
1933,-0.55
1934,-0.34
1935,-0.14
1936,-0.72
1937,-0.94
1938,0.24
1939,-0.68
1940,-0.86
1941,-0.88
1942,-0.58
1943,-0.85
1944,-0.83
1945,-1.07
1946,-0.81
1947,-0.55
1948,-0.32
1949,-0.6
1950,-0.48
1951,-0.81
1952,-0.48
1953,-0.55
1954,-0.01
1955,0.18
1956,0.31
1957,-0.15
1958,-0.22
1959,-0.46
1960,-0.34
1961,-0.33
1962,0.3
1963,-0.65
1964,-0.59
1965,-0.73
1966,-0.46
1967,-0.34
1968,-0.4
1969,-0.43
1970,0.26
1971,0.5
1972,-0.37
1973,0.08
1974,0.13
1975,0
1976,-0.88
1977,-0.84
1978,0.21
1979,-0.06
1980,-0.35
1981,0.25
1982,-0.49
1983,-0.58
1984,0.07
1985,0.24
1986,0.05
1987,0.16
1988,0.32
1989,0.36
1990,0.38
1991,-0.44
1992,-1.13
1993,-0.77
1994,-0.28
1995,-0.02
1996,-0.16
1997,-0.33
1998,0.8
1999,0.74
2000,0.18
2001,0.29
2002,0.06
2003,0.01
2004,-0.44
2005,0.5
2006,-0.21
2007,0.06
2008,0.25
2009,-0.32
2010,0.46
2011,0.22
2012,-0.15
2013,0.72
2014,0.18
2015,0.14
2016,0.84
2017,0.54
2018,0.8
2019,0.76
2020,0.63
2021,0.95
2022,1.15
2022,0.87
